"R_fighter","B_fighter","R_odds","B_odds","R_ev","B_ev","date","location","country","Winner","title_bout","weight_class","gender","no_of_rounds","B_current_lose_streak","B_current_win_streak","B_draw","B_avg_SIG_STR_landed","B_avg_SIG_STR_pct","B_avg_SUB_ATT","B_avg_TD_landed","B_avg_TD_pct","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO/TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Stance","B_Height_cms","B_Reach_cms","B_Weight_lbs","R_current_lose_streak","R_current_win_streak","R_draw","R_avg_SIG_STR_landed","R_avg_SIG_STR_pct","R_avg_SUB_ATT","R_avg_TD_landed","R_avg_TD_pct","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO/TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Stance","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","B_age","lose_streak_dif","win_streak_dif","longest_win_streak_dif","win_dif","loss_dif","total_round_dif","total_title_bout_dif","ko_dif","sub_dif","height_dif","reach_dif","age_dif","sig_str_dif","avg_sub_att_dif","avg_td_dif","empty_arena","B_match_weightclass_rank","R_match_weightclass_rank","better_rank","finish","finish_details","finish_round","finish_round_time","total_fight_time_secs","R_kd_bout","B_kd_bout","R_sig_str_landed_bout","B_sig_str_landed_bout","R_sig_str_attempted_bout","B_sig_str_attempted_bout","R_sig_str_pct_bout","B_sig_str_pct_bout","R_tot_str_landed_bout","B_tot_str_landed_bout","R_tot_str_attempted_bout","B_tot_str_attempted_bout","R_td_landed_bout","B_td_landed_bout","R_td_attempted_bout","B_td_attempted_bout","R_td_pct_bout","B_td_pct_bout","R_sub_attempts_bout","B_sub_attempts_bout","R_pass_bout","B_pass_bout","R_rev_bout","B_rev_bout","isWeekend","days","month","year","class","rank"
"Michelle Waterson","Angela Hill",105,-125,105,80,2020-09-12,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",5,1,0,0,5.76,0.49,0.2,0.47,0.37,3,8,40,0,0,0,5,2,0,0,7,"Orthodox",160.02,162.56,115,2,0,0,3.31,0.52,1.1,1.68,0.5,4,4,31,0,0,1,2,0,4,0,7,"Orthodox",160.02,157.48,115,34,35,-1,0,-1,0,4,9,0,2,-4,0,5.08,1,2.45,-0.9,-1.21,1,"13","8","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2020","B_Women's Strawweight_rank","13"
"Carla Esparza","Marina Rodriguez",145,-182,145,54.94505495,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Strawweight","FEMALE",3,0,2,2,5.6,0.5,0.2,0.48,0.33,2,0,12,0,0,0,2,0,0,0,2,"Orthodox",167.64,165.1,115,0,3,0,2.3,0.41,0.3,3.28,0.33,3,4,32,2,1,1,4,0,1,0,7,"Orthodox",154.94,160.02,115,32,33,0,-1,-1,-5,-4,-20,-2,0,-1,12.7,5.08,1,3.3,-0.1,-2.8,1,"9","7","Red","S-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jul","2020","B_Women's Strawweight_rank","9"
"Jessica Andrade","Rose Namajunas",175,-215,175,46.51162791,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","0",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,3.95,0.42,0.9,2.17,0.55,3,3,25,4,0,0,2,1,3,0,6,"Orthodox",165.1,165.1,115,1,0,0,6.55,0.51,0.5,3.21,0.58,4,5,36,3,0,1,5,3,2,0,11,"Orthodox",154.94,157.48,115,28,28,0,0,-1,-5,-2,-11,1,-2,1,10.16,7.62,0,-2.6,0.4,-1.04,1,"2","1","Red","S-DEC",NA,3,05:00:00,900,0,0,71,82,205,235,0.34,0.34,79,82,213,235,1,0,3,1,0.33,0,0,0,1,0,0,0,TRUE,"Saturday","Jul","2020","B_Women's Strawweight_rank","2"
"Jessica Eye","Cynthia Calvillo",120,-130,120,76.92307692,2020-06-13,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Flyweight","FEMALE",5,0,2,1,4.12,0.43,1.6,1.83,0.43,3,1,12,0,0,0,2,0,3,0,5,"Orthodox",162.56,162.56,115,0,1,0,3.79,0.38,0.7,0.46,0.45,3,6,8,1,0,2,2,1,0,0,5,"Orthodox",167.64,167.64,125,33,32,0,1,0,0,-5,4,-1,-1,3,-5.08,-5.08,-1,0.33,0.9,1.37,1,NA,"1","Red","U-DEC",NA,5,05:00:00,1500,0,0,70,113,280,237,0.25,0.47,70,150,283,294,0,4,0,7,0,0.57,0,0,0,8,0,0,TRUE,"Saturday","Jun","2020","B_Women's Strawweight_rank","10"
"Carla Esparza","Michelle Waterson",-155,135,64.51612903,135,2020-05-09,"Jacksonville, Florida, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,3.35,0.53,1.2,1.88,0.5,4,3,28,0,0,1,2,0,4,0,7,"Orthodox",160.02,157.48,115,0,2,0,2.22,0.4,0.3,3.53,0.36,2,4,29,2,1,0,4,0,1,0,6,"Orthodox",154.94,160.02,115,32,34,-1,-2,2,1,1,-1,-2,0,3,5.08,-2.54,-2,1.13,0.9,-1.65,1,"8","7","Red","S-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","May","2020","B_Women's Strawweight_rank","8"
"Weili Zhang","Joanna Jedrzejczyk",-185,170,54.05405405,170,2020-03-07,"Las Vegas, Nevada, USA","USA","1",TRUE,"Women's Strawweight","FEMALE",5,0,1,0,6.18,0.47,0.1,0.3,0.62,8,3,50,9,0,1,7,2,0,0,10,"Orthodox",167.64,165.1,115,0,4,0,6.22,0.49,0.9,1.75,0.3,4,0,8,1,0,0,2,1,1,0,4,"Switch",162.56,160.02,115,30,32,0,-3,4,6,-3,42,8,1,-1,5.08,5.08,-2,-0.04,-0.8,-1.45,0,"4","0","Red","S-DEC",NA,5,05:00:00,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Mar","2020","B_Women's Strawweight_rank","4"
"Caludia Gadelha","Randa Markos",-200,170,50,170,2019-07-06,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,1,1,3.01,0.41,0.3,1.38,0.27,1,5,29,0,0,1,3,0,1,0,5,"Orthodox",162.56,160.02,115,1,0,0,3.17,0.42,0.8,3.34,0.47,2,4,27,1,0,1,3,0,1,0,5,"Orthodox",162.56,160.02,115,30,33,1,1,-1,0,-1,2,-1,0,0,0,0,-3,-0.16,-0.5,-1.96,0,"14",NA,"Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jul","2019","B_Women's Strawweight_rank","14"
"Carla Esparza","Alexa Grasso",125,-145,125,68.96551724,2019-09-21,"Mexico City, Distrito Federal, Mexico","Mexico","1",FALSE,"Women's Strawweight","FEMALE",3,0,1,0,5.25,0.41,0.6,0.19,0.33,1,2,13,0,0,1,2,0,0,0,3,"Orthodox",165.1,167.64,115,0,1,0,2.22,0.4,0.3,3.53,0.36,2,4,26,2,0,0,4,0,1,0,5,"Orthodox",154.94,160.02,115,31,26,0,0,-1,-2,2,-13,-2,0,-1,10.16,7.62,5,3.03,0.3,-3.34,0,"9","8","Red","M-DEC",NA,3,05:00:00,900,0,0,44,45,80,103,0.55,0.43,115,103,157,169,4,0,11,1,0.36,0,0,1,1,0,1,1,TRUE,"Saturday","Sep","2019","B_Women's Strawweight_rank","9"
"Joanna Jedrzejczyk","Michelle Waterson",-300,250,33.33333333,250,2019-10-12,"Tampa, Florida, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",5,0,3,0,3.35,0.53,1.2,1.88,0.5,4,2,23,0,0,1,2,0,4,0,7,"Orthodox",160.02,157.48,115,1,0,0,6.18,0.47,0.1,0.3,0.62,8,3,45,9,0,1,6,2,0,0,9,"Orthodox",167.64,165.1,125,32,33,1,3,-4,-2,1,-22,-9,-2,4,-7.62,-7.62,-1,-2.83,1.1,1.58,0,"7","5","Red","U-DEC",NA,5,05:00:00,1500,0,0,180,58,300,160,0.6,0.36,226,71,347,174,3,1,5,9,0.6,0.11,1,1,0,1,0,0,TRUE,"Saturday","Oct","2019","B_Women's Strawweight_rank","7"
"Tatiana Suarez","Nina Ansaroff",-750,525,13.33333333,525,2019-06-08,"Chicago, Illinois, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,4,0,75.16666667,0.47,0.666666667,0.333333333,0.25,4,2,18,0,0,0,3,0,1,0,4,"Orthodox",165.1,162.56,115,0,4,0,42.75,0.6375,0.5,4.5,0.8175,4,0,8,1,0,0,1,1,2,0,4,"Southpaw",165.1,167.64,115,28,33,0,0,0,0,-2,10,-1,-1,-1,0,-5.08,-5,32.41666667,0.166666667,-4.166666667,0,"3","2","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jun","2019","B_Women's Strawweight_rank","3"
"Karolina Kowalkiewicz","Alexa Grasso",105,-125,105,80,2019-06-08,"Chicago, Illinois, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,53.75,0.5025,0.25,0.25,0.125,1,2,10,0,0,1,1,0,0,0,2,"Orthodox",165.1,167.64,115,2,0,0,73.55555556,0.38,0,0.111111111,0.055555556,3,4,25,1,0,2,3,0,0,0,5,"Orthodox",160.02,162.56,115,33,25,1,0,-2,-3,2,-15,-1,0,0,5.08,5.08,8,-19.80555556,0.25,0.138888889,0,"13","10","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jun","2019","B_Women's Strawweight_rank","13"
"Rose Namajunas","Jessica Andrade",120,-140,120,71.42857143,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil","Brazil","0",TRUE,"Women's Strawweight","FEMALE",5,0,3,0,72.85714286,0.549285714,0.357142857,2.357142857,0.524285714,3,4,33,1,0,1,5,2,2,0,10,"Orthodox",154.94,157.48,115,0,3,0,47.625,0.4425,0.75,2,0.5575,3,2,23,3,0,0,2,1,3,0,6,"Orthodox",165.1,165.1,115,26,27,0,0,0,4,-2,10,-2,1,-1,-10.16,-7.62,-1,25.23214286,-0.392857143,0.357142857,0,"1","0","Red","KO/TKO","Slam",2,02:58:00,478,1,0,55,47,125,105,0.44,0.44,55,49,125,107,0,2,2,4,0,0.5,1,0,1,0,0,0,TRUE,"Saturday","May","2019","B_Women's Strawweight_rank","1"
"Karolina Kowalkiewicz","Michelle Waterson",-160,140,62.5,140,2019-03-30,"Philadelphia, Pennsylvania, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,0,2,0,45.66666667,0.661666667,1,1.666666667,0.735,2,2,15,0,0,1,1,0,2,0,4,"Orthodox",160.02,157.48,115,1,0,0,75.625,0.3675,0,0.125,0.0625,3,3,22,1,0,2,3,0,0,0,5,"Orthodox",160.02,162.56,115,33,33,1,2,-1,-1,1,-7,-1,0,2,0,-5.08,0,-29.95833333,1,1.541666667,0,"9","6","Red","U-DEC",NA,3,05:00:00,900,0,0,57,64,118,149,0.48,0.42,77,82,141,167,0,2,0,4,0,0.5,0,1,0,1,0,0,TRUE,"Saturday","Mar","2019","B_Women's Strawweight_rank","9"
"Tecia Torres","Weili Zhang",125,-145,125,68.96551724,2019-03-02,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,0,2,0,61,0.58,1,1,0.415,2,0,4,0,0,0,1,0,1,0,2,"Switch",162.56,160.02,115,2,0,0,62.11111111,0.493333333,0.111111111,0.777777778,0.351111111,3,3,26,0,0,0,5,0,1,0,6,"Orthodox",154.94,152.4,115,29,29,2,2,-1,-4,3,-22,0,0,0,7.62,7.62,0,-1.11111111,0.888888889,0.222222222,0,"15","7","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Mar","2019","B_Women's Strawweight_rank","15"
"Cortney Casey","Cynthia Calvillo",295,-355,295,28.16901408,2019-02-17,"Phoenix, Arizona, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,0,1,0,35.4,0.426,1.8,1.4,0.678,3,1,11,0,0,0,1,0,3,0,4,"Orthodox",162.56,162.56,115,0,1,0,59.77777778,0.44,0.444444444,0.333333333,0.128888889,2,5,23,0,0,1,1,1,1,0,4,"Orthodox",170.18,170.18,115,31,31,0,0,1,0,4,-12,0,-1,2,-7.62,-7.62,0,-24.37777778,1.355555556,1.066666667,0,"12","11","Red","U-DEC",NA,3,05:00:00,900,0,0,73,82,176,192,0.41,0.42,73,82,177,192,0,0,0,6,0,0,0,0,0,0,0,0,TRUE,"Sunday","Feb","2019","B_Women's Strawweight_rank","12"
"Valentina Shevchenko","Joanna Jedrzejczyk",-300,250,33.33333333,250,2018-12-08,"Toronto, Ontario, Canada","Canada","1",TRUE,"Women's Flyweight","FEMALE",5,0,1,0,115.1818182,0.425454545,0,0.181818182,0.136363636,8,2,40,8,0,1,6,2,0,0,9,"Orthodox",167.64,165.1,125,0,1,0,54.5,0.595,0.5,2,0.643333333,2,2,20,1,0,1,1,0,2,0,4,"Southpaw",165.1,167.64,125,30,31,0,0,6,5,0,20,7,2,-2,2.54,-2.54,-1,60.6818182,-0.5,-1.818181818,0,NA,"1","Red","U-DEC",NA,5,05:00:00,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Dec","2018","B_Women's Strawweight_rank","1"
"Claudia Gadelha","Nina Ansaroff",-310,255,32.25806452,255,2018-12-08,"Toronto, Ontario, Canada","Canada","0",FALSE,"Women's Strawweight","FEMALE",3,0,3,0,71,0.474,0.8,0.4,0.3,3,2,15,0,0,0,2,0,1,0,3,"Orthodox",165.1,162.56,115,0,1,0,47.625,0.4025,1,3.875,0.6075,2,3,24,1,0,1,3,0,1,0,5,"Orthodox",162.56,160.02,115,30,33,0,2,1,-2,1,-9,-1,0,0,2.54,2.54,-3,23.375,-0.2,-3.475,0,"11","3","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Dec","2018","B_Women's Strawweight_rank","11"
"Michelle Waterson","Felice Herrig",115,-135,115,74.07407407,2018-10-06,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,45.42857143,0.43,0.857142857,1,0.485714286,4,2,18,0,0,1,2,0,2,0,5,"Orthodox",162.56,165.1,115,0,1,0,39.6,0.652,1.2,2,0.882,2,2,12,0,0,1,0,0,2,0,3,"Orthodox",160.02,157.48,115,32,34,-1,-1,2,2,0,6,0,0,0,2.54,7.62,-2,5.82857143,-0.342857143,-1,0,"9","8","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2018","B_Women's Strawweight_rank","9"
"Jessica Andrade","Karolina Kowalkiewicz",-450,360,22.22222222,360,2018-09-08,"Dallas, Texas, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,2,0,83,0.36,0,0.142857143,0.071428571,3,2,21,1,0,2,3,0,0,0,5,"Orthodox",160.02,162.56,115,0,2,0,75.53846154,0.551538462,0.384615385,2.538461538,0.564615385,3,4,32,1,0,1,5,1,2,0,9,"Orthodox",154.94,157.48,115,26,32,0,0,0,-4,2,-11,0,-1,-2,5.08,5.08,-6,7.46153846,-0.384615385,-2.395604395,0,"4","2","Red","KO/TKO","Punch",1,01:58:00,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2018","B_Women's Strawweight_rank","4"
"Carla Esparza","Tatiana Suarez",335,-420,335,23.80952381,2018-09-08,"Dallas, Texas, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,0,3,0,29.66666667,0.573333333,0.666666667,3,0.82,3,0,5,1,0,0,1,0,2,0,3,"Southpaw",165.1,167.64,115,1,0,0,32.83333333,0.381666667,0.5,3.166666667,0.431666667,1,3,17,2,0,0,2,0,1,0,3,"Orthodox",154.94,160.02,115,30,27,1,3,2,0,3,-12,-1,0,1,10.16,7.62,3,-3.16666666,0.166666667,-0.166666667,0,"9","6","Red","KO/TKO","Punches",3,04:33:00,873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2018","B_Women's Strawweight_rank","9"
"Cortney Casey","Angela Hill",115,-135,115,74.07407407,2018-08-25,"Lincoln, Nebraska, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,1,0,71.85714286,0.498571429,0,0.285714286,0.214285714,1,4,19,0,0,0,3,0,0,0,3,"Orthodox",160.02,162.56,115,2,0,0,53.375,0.45375,0.5,0.25,0.125,2,5,20,0,0,0,1,1,1,0,3,"Orthodox",170.18,170.18,115,31,33,2,1,-1,0,1,-1,0,-1,-1,-10.16,-7.62,-2,18.48214286,-0.5,0.035714286,0,"14","11","Red","S-DEC",NA,3,05:00:00,900,0,0,111,121,333,222,0.33,0.54,117,123,341,224,1,1,6,1,0.16,1,0,0,1,0,0,0,TRUE,"Saturday","Aug","2018","B_Women's Strawweight_rank","14"
"Joanna Jedrzejczyk","Tecia Torres",-320,260,31.25,260,2018-07-28,"Calgary, Alberta, Canada","Canada","1",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,65.75,0.5025,0.125,0.875,0.395,3,2,23,0,0,0,5,0,1,0,6,"Orthodox",154.94,152.4,115,2,0,0,120.5,0.431,0,0.2,0.15,8,2,37,8,0,1,5,2,0,0,8,"Orthodox",167.64,165.1,125,30,28,1,0,-5,-2,0,-14,-8,-2,1,-12.7,-12.7,2,-54.75,0.125,0.675,0,"5","1","Red","U-DEC",NA,3,05:00:00,900,0,0,62,33,166,78,0.37,0.42,81,54,185,100,0,0,0,10,0,0,0,0,0,0,0,0,TRUE,"Saturday","Jul","2018","B_Women's Strawweight_rank","5"
"Randa Markos","Nina Ansaroff",120,-140,120,71.42857143,2018-07-28,"Calgary, Alberta, Canada","Canada","0",FALSE,"Women's Strawweight","FEMALE",3,0,2,0,76.5,0.49,1,0.5,0.375,2,2,12,0,0,0,1,0,1,0,2,"Orthodox",165.1,162.56,115,0,1,0,42,0.41375,0.25,1.5,0.36375,1,4,22,0,0,1,3,0,0,0,4,"Orthodox",162.56,160.02,115,32,32,0,1,1,-2,2,-10,0,0,1,2.54,2.54,0,34.5,0.75,-1,0,"13","12","Red","U-DEC",NA,3,05:00:00,900,0,0,23,49,72,118,0.31,0.41,30,56,79,127,1,0,11,0,0.9,0,0,0,1,1,0,0,TRUE,"Saturday","Jul","2018","B_Women's Strawweight_rank","13"
"Claudia Gadelha","Carla Esparza",-270,230,37.03703704,230,2018-06-09,"Chicago, Illinois, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,1,0,30.8,0.376,0.6,3.4,0.418,1,2,14,2,0,0,2,0,1,0,3,"Orthodox",154.94,160.02,115,1,0,0,50.71428571,0.402857143,1,3.857142857,0.58,2,3,21,1,0,0,3,0,1,0,4,"Orthodox",162.56,160.02,115,29,30,1,1,-1,-1,1,-7,1,0,0,-7.62,0,-1,-19.91428571,-0.4,-0.457142857,0,"6","3","Red","S-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jun","2018","B_Women's Strawweight_rank","6"
"Alexa Grasso","Tatiana Suarez",425,-550,425,18.18181818,2018-05-19,"Santiago, Chile","Chile","0",FALSE,"Women's Strawweight","FEMALE",3,0,2,0,43.5,0.75,0.5,3.5,0.9,2,0,4,1,0,0,1,0,1,0,2,"Southpaw",165.1,167.64,115,0,1,0,69.66666667,0.42,0.333333333,0.333333333,0.166666667,1,1,9,0,0,1,1,0,0,0,2,"Orthodox",165.1,167.64,115,24,27,0,1,1,0,1,-5,1,0,1,0,0,-3,-26.16666667,0.166666667,3.166666667,0,"12","9","Red","SUB","Rear Naked Choke",1,02:44:00,164,0,0,6,2,8,9,0.75,0.22,21,4,23,11,0,2,0,3,0,0.66,0,1,0,4,0,0,TRUE,"Saturday","May","2018","B_Women's Strawweight_rank","12"
"Michelle Waterson","Cortney Casey",145,-165,145,60.60606061,2018-04-14,"Glendale, Arizona, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,55.85714286,0.465714286,0.142857143,0.285714286,0.142857143,2,4,17,0,0,0,1,1,1,0,3,"Orthodox",170.18,170.18,115,2,0,0,34.25,0.635,1.5,1.75,0.915,2,2,9,0,0,0,0,0,2,0,2,"Orthodox",160.02,157.48,115,32,30,1,0,0,1,-2,8,0,1,-1,10.16,12.7,2,21.60714286,-1.357142857,-1.464285714,0,"10","7","Red","S-DEC",NA,3,05:00:00,900,0,0,61,36,84,96,0.72,0.37,77,64,103,126,3,0,4,1,0.75,0,0,3,0,1,0,0,TRUE,"Saturday","Apr","2018","B_Women's Strawweight_rank","10"
"Rose Namajunas","Joanna Jedrzejczyk",-110,-110,90.90909091,90.90909091,2018-04-07,"Brooklyn, New York, USA","USA","1",TRUE,"Women's Strawweight","FEMALE",5,1,0,0,117.7777778,0.434444444,0,0.222222222,0.166666667,8,1,32,7,0,1,5,2,0,0,8,"Orthodox",167.64,165.1,125,0,2,0,39.42857143,0.457142857,0.857142857,2.142857143,0.565714286,3,2,18,2,0,0,1,1,3,0,5,"Orthodox",165.1,165.1,115,25,30,-1,-2,5,3,1,14,5,1,-3,2.54,0,-5,78.34920637,-0.857142857,-1.920634921,0,"1","0","Red","U-DEC",NA,5,05:00:00,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Apr","2018","B_Women's Strawweight_rank","1"
"Karolina Kowalkiewicz","Felice Herrig",-190,165,52.63157895,165,2018-04-07,"Brooklyn, New York, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,4,0,38.66666667,0.436666667,1,1.166666667,0.566666667,4,1,15,0,0,1,2,0,2,0,5,"Orthodox",162.56,165.1,115,0,1,0,75.83333333,0.336666667,0,0.166666667,0.083333333,3,2,18,1,0,1,3,0,0,0,4,"Orthodox",160.02,162.56,115,32,33,0,3,1,1,1,-3,-1,0,2,2.54,2.54,-1,-37.16666666,1,1,0,"8","4","Red","S-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Apr","2018","B_Women's Strawweight_rank","8"
"Jessica Andrade","Tecia Torres",-250,210,40,210,2018-02-24,"Orlando, Florida, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,3,0,65.28571429,0.508571429,0.142857143,0.714285714,0.308571429,3,1,20,0,0,0,5,0,1,0,6,"Orthodox",154.94,152.4,115,0,1,0,74.16666667,0.555,0.416666667,1.916666667,0.5425,3,4,29,1,0,1,4,1,2,0,8,"Orthodox",154.94,157.48,115,26,28,0,2,0,-2,3,-9,-1,-1,-1,0,-5.08,-2,-8.88095238,-0.273809524,-1.202380953,0,"5","2","Red","U-DEC",NA,3,05:00:00,900,0,0,92,69,178,150,0.51,0.46,151,88,237,171,10,2,12,2,0.83,1,0,0,8,1,1,0,TRUE,"Saturday","Feb","2018","B_Women's Strawweight_rank","5"
"Cynthia Calvillo","Carla Esparza",-220,180,45.45454545,180,2017-12-30,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,26.5,0.385,0.5,3.75,0.4675,1,2,11,2,0,0,1,0,1,0,2,"Orthodox",154.94,160.02,115,0,3,0,39,0.423333333,2.666666667,1.333333333,0.8,3,0,7,0,0,0,1,0,2,0,3,"Orthodox",162.56,162.56,115,30,30,-1,-3,-2,-1,-2,4,2,0,-1,-7.62,-2.54,0,-12.5,-2.166666667,2.416666667,0,"9","6","Red","U-DEC",NA,3,05:00:00,900,0,0,38,48,112,138,0.33,0.34,57,62,131,153,1,2,3,9,0.33,0.22,0,1,2,0,0,1,TRUE,"Saturday","Dec","2017","B_Women's Strawweight_rank","9"
"Tecia Torres","Michelle Waterson",-250,210,40,210,2017-12-02,"Detroit, Michigan, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,1,0,0,27,0.713333333,2,1.666666667,1,2,1,6,0,0,0,0,0,2,0,2,"Orthodox",160.02,157.48,115,0,2,0,60.33333333,0.503333333,0.166666667,0.666666667,0.276666667,3,1,17,0,0,0,4,0,1,0,5,"Orthodox",154.94,152.4,115,28,31,-1,-2,-1,-3,0,-11,0,0,1,5.08,5.08,-3,-33.33333333,1.833333333,1,0,"6","5","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Dec","2017","B_Women's Strawweight_rank","6"
"Felice Herrig","Cortney Casey",-115,-105,86.95652174,95.23809524,2017-12-02,"Detroit, Michigan, USA","USA","1",FALSE,"Women's Strawweight","FEMALE",3,0,1,0,50,0.478333333,0.166666667,0.333333333,0.166666667,2,3,14,0,0,0,1,1,1,0,3,"Orthodox",170.18,170.18,115,0,3,0,31.2,0.466,1.2,1.2,0.58,3,1,12,0,0,0,2,0,2,0,4,"Orthodox",162.56,165.1,115,33,30,0,-2,-1,-1,-2,2,0,1,-1,7.62,5.08,3,18.8,-1.033333333,-0.866666667,0,"11","9","Red","S-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Dec","2017","B_Women's Strawweight_rank","11"
